Algorithm,Kriging,Grid Width,Grid Height,Bomb X Location,Bomb Y Location,Number of Robots,Steps,Finish,Best Bomb Guess X,Best Bomb Guess Y,Guess at Step,Last Bomb Guess X,Last Bomb Guess Y
PH,No,16,16,14,4,2,35,True,,,,,
PH,Yes,16,16,14,4,2,32,True,15,4,30,15,4
BF,No,16,16,4,4,2,69,True,,,,,
BF,Yes,16,16,4,4,2,49,True,4,4,45,4,4
PH,No,16,16,4,4,2,37,True,,,,,
PH,Yes,16,16,4,4,2,36,True,4,4,33,4,4
BF,No,16,16,2,13,2,83,True,,,,,
BF,Yes,16,16,2,13,2,39,True,2,13,36,2,13
PH,No,16,16,2,13,2,47,True,,,,,
PH,Yes,16,16,2,13,2,36,True,2,13,33,2,13
BF,No,16,16,2,7,2,126,True,,,,,
BF,Yes,16,16,2,7,2,20,True,2,7,18,2,7
PH,No,16,16,2,7,2,26,True,,,,,
PH,Yes,16,16,2,7,2,24,True,2,7,21,2,7
BF,No,16,16,6,0,2,7,True,,,,,
BF,Yes,16,16,6,0,2,7,True,,,,,
PH,No,16,16,6,0,2,7,True,,,,,
PH,Yes,16,16,6,0,2,7,True,,,,,
BF,No,16,16,5,11,2,54,True,,,,,
BF,Yes,16,16,5,11,2,26,True,5,12,24,5,12
PH,No,16,16,5,11,2,32,True,,,,,
PH,Yes,16,16,5,11,2,24,True,4,11,21,4,11
BF,No,16,16,3,9,2,20,True,,,,,
BF,Yes,16,16,3,9,2,14,True,3,11,12,3,11
PH,No,16,16,3,9,2,18,True,,,,,
PH,Yes,16,16,3,9,2,14,True,3,11,12,3,11
BF,No,16,16,3,10,2,45,True,,,,,
BF,Yes,16,16,3,10,2,24,True,3,10,21,3,10
PH,No,16,16,3,10,2,25,True,,,,,
PH,Yes,16,16,3,10,2,24,True,3,10,21,3,10
BF,No,16,16,6,1,2,26,True,,,,,
BF,Yes,16,16,6,1,2,19,True,6,1,12,6,1
PH,No,16,16,6,1,2,12,True,,,,,
PH,Yes,16,16,6,1,2,12,True,,,,,
BF,No,16,16,7,9,2,24,True,,,,,
BF,Yes,16,16,7,9,2,23,True,7,9,18,7,9
PH,No,16,16,7,9,2,14,True,,,,,
PH,Yes,16,16,7,9,2,25,True,7,9,18,7,9
BF,No,16,16,8,13,2,89,True,,,,,
BF,Yes,16,16,8,13,2,62,True,8,13,60,8,13
PH,No,16,16,8,13,2,53,True,,,,,
PH,Yes,16,16,8,13,2,36,True,8,13,33,8,13
BF,No,16,16,7,14,2,105,True,,,,,
BF,Yes,16,16,7,14,2,74,True,7,14,72,7,14
PH,No,16,16,7,14,2,69,True,,,,,
PH,Yes,16,16,7,14,2,49,True,7,15,48,7,15
BF,No,16,16,6,8,2,10,True,,,,,
BF,Yes,16,16,6,8,2,10,True,,,,,
PH,No,16,16,6,8,2,10,True,,,,,
PH,Yes,16,16,6,8,2,10,True,,,,,
BF,No,16,16,2,6,2,99,True,,,,,
BF,Yes,16,16,2,6,2,71,True,2,6,69,2,6
PH,No,16,16,2,6,2,51,True,,,,,
PH,Yes,16,16,2,6,2,44,True,2,6,42,2,6
BF,No,16,16,9,10,2,39,True,,,,,
BF,Yes,16,16,9,10,2,33,True,9,9,27,9,9
PH,No,16,16,9,10,2,19,True,,,,,
PH,Yes,16,16,9,10,2,19,True,7,13,18,7,13
BF,No,16,16,8,0,2,9,True,,,,,
BF,Yes,16,16,8,0,2,9,True,,,,,
PH,No,16,16,8,0,2,9,True,,,,,
PH,Yes,16,16,8,0,2,9,True,,,,,
BF,No,16,16,11,1,2,21,True,,,,,
BF,Yes,16,16,11,1,2,20,True,11,1,15,11,1
PH,No,16,16,11,1,2,17,True,,,,,
PH,Yes,16,16,11,1,2,19,True,11,1,15,11,1
BF,No,16,16,2,4,2,67,True,,,,,
BF,Yes,16,16,2,4,2,41,True,2,4,39,2,4
PH,No,16,16,2,4,2,31,True,,,,,
PH,Yes,16,16,2,4,2,30,True,2,4,27,2,4
BF,No,16,16,6,1,2,26,True,,,,,
BF,Yes,16,16,6,1,2,19,True,6,1,12,6,1
PH,No,16,16,6,1,2,12,True,,,,,
PH,Yes,16,16,6,1,2,12,True,,,,,
BF,No,16,16,2,14,2,110,True,,,,,
BF,Yes,16,16,2,14,2,57,True,1,14,54,1,14
PH,No,16,16,2,14,2,56,True,,,,,
PH,Yes,16,16,2,14,2,44,True,2,14,42,2,14
BF,No,16,16,14,4,2,79,True,,,,,
BF,Yes,16,16,14,4,2,54,True,14,4,51,14,4
PH,No,16,16,14,4,2,35,True,,,,,
PH,Yes,16,16,14,4,2,32,True,15,4,30,15,4
BF,No,16,16,8,5,2,88,True,,,,,
BF,Yes,16,16,8,5,2,62,True,8,5,60,8,5
PH,No,16,16,8,5,2,54,True,,,,,
PH,Yes,16,16,8,5,2,39,True,8,5,36,8,5
BF,No,16,16,15,8,2,1,True,,,,,
BF,Yes,16,16,15,8,2,1,True,,,,,
PH,No,16,16,15,8,2,1,True,,,,,
PH,Yes,16,16,15,8,2,1,True,,,,,
BF,No,16,16,13,8,2,3,True,,,,,
